Unnamed: 0,City,Lat,Lon,Temp_C,Feels_like,Temp_min_C,Temp_max_C,Humidity,Wind_speed_mph,Clouds,Country,Time_zone,Hotel
276,balkhash,46.84,74.98,24.03,21.22,24.03,24.03,48,5.04,27,KZ,21600,Family
30,bambous virieux,-20.34,57.76,20.26,15.6,20.0,20.56,56,7.2,75,MU,14400,Casa Tia Villa
273,batagay-alyta,67.8,130.41,20.98,20.02,20.98,20.98,48,1.27,27,RU,32400,missing value
414,bathsheba,13.22,-59.52,29.0,28.66,29.0,29.0,74,8.7,40,BB,-14400,Atlantis Hotel
10,belmonte,-15.86,-38.88,23.0,23.1,23.0,23.0,64,2.6,20,BR,-10800,Pousada Monte Carmelo O Pão
1,beloha,-25.17,45.05,15.51,12.19,15.51,15.51,74,5.16,0,MG,10800,missing value
560,beringovskiy,63.05,179.32,13.04,10.15,13.04,13.04,64,2.94,79,RU,43200,Beringgorski
153,bilma,18.69,12.92,31.22,28.76,31.22,31.22,15,1.0,0,NE,3600,Expeditions Ténére voyages
136,bukama,-9.2,25.85,19.49,17.7,19.49,19.49,34,0.47,0,CD,7200,missing value
25,busselton,-33.65,115.33,6.05,-0.07,3.89,7.22,76,6.39,89,AU,28800,Observatory Guest House
107,butaritari,3.07,172.79,27.77,28.15,27.77,27.77,80,7.77,32,KI,43200,Isles Sunset Lodge
525,cagliari,39.24,9.09,26.5,27.14,26.0,27.0,69,4.6,0,IT,7200,Holiday Inn Cagliari
373,camacha,33.08,-16.33,21.0,20.08,21.0,21.0,77,4.6,40,PT,3600,Hotel Porto Santo & Spa
313,cap malheureux,-19.98,57.61,20.0,18.05,20.0,20.0,51,2.68,28,MU,14400,Pereybere Hotel & Spa
36,cape town,-33.93,18.42,13.07,10.85,11.11,14.0,50,1.0,0,ZA,7200,Southern Sun Waterfront Cape Town
223,carutapera,-1.2,-46.02,26.71,28.57,26.71,26.71,76,4.15,96,BR,-10800,Lidera
199,castro,-24.79,-50.01,16.51,15.23,16.51,16.51,71,2.39,0,BR,-10800,CHACARA BAILLY
610,cehegin,38.09,-1.8,26.51,27.07,25.56,27.22,53,2.11,1,ES,7200,Apartamentos Begastri
304,cesme,38.32,26.31,28.0,26.4,28.0,28.0,48,5.1,0,TR,10800,Ilıca Hotel Spa & Wellness Thermal Resort
546,chapais,49.78,-74.85,21.0,20.05,21.0,21.0,68,3.6,90,CA,-14400,Hôtel Opémiska
340,cherskiy,68.75,161.3,20.49,21.05,20.49,20.49,60,0.29,10,RU,39600,Gostinitsa
222,chokurdakh,70.63,147.92,21.72,20.5,21.72,21.72,58,3.11,8,RU,39600,missing value
257,chumikan,54.72,135.31,11.51,8.47,11.51,11.51,78,3.61,8,RU,36000,Fortuna
449,cidreira,-30.18,-50.21,18.3,18.11,18.3,18.3,78,2.27,100,BR,-10800,Hotel Castelo
